"DATE","GDP","FX","CPI","POL","OIL","UNEMP"
2006.5,0.000893936929966088,0.00558665684966453,0.0142974862613539,0.000559527529421011,5.3,4.6333333333333
2006.75,0.00779667684620833,-0.00855685564971065,-0.000334177607787645,-0.0157092862901811,5.2,4.4333333333333
2007,0.000617601135171952,0.0101401572766635,-0.0121538922970972,-0.00850170531498939,5.3,4.5
2007.25,0.0076200738307115,0.0189916635750116,0.00333677771713337,-0.0172618992594211,5.3,4.5
2007.5,0.0067033572657067,0.00275551741492919,-0.00590236486604123,-0.0162201317165396,4.9,4.6666666666667
2007.75,0.00356275371008152,0.00708702691282515,0.0041206515943264,-0.025996500409188,4.2,4.8
2008,-0.00684940923644106,0.0113036126618775,0.00556511060793863,-0.022175453238237,2.6,5
2008.25,0.00495143729676428,0.0217159481362943,-0.00143471046571442,-0.0142671212893859,2,5.3333333333333
2008.5,-0.00480416264811723,0.0115635605459161,-0.0610009238102842,0.0156481065858793,1.8,6
2008.75,-0.0213562680473522,-0.0286932007792284,0.0375493101103999,0.0610743186727234,0.2,6.8666666666667
2009,-0.0139520762164871,-0.00498867540875736,0.0322519096163285,0.0169586307746785,0.2,8.2666666666667
2009.25,-0.00135465456563821,0.0105472028247595,0.0269724825980893,-0.0289266473568528,0.2,9.3
2009.5,0.00326302138724799,0.00676765192109308,0.045428649738434,-0.0241454224295072,0.2,9.6333333333333
2009.75,0.00963400065966979,0.00200994659675757,-0.0155549006470812,-0.0219174191409408,0.1,9.9333333333333
2010,0.00431911664173157,0.00400610587435235,-0.00496478248115828,0.00118105235042965,0.2,9.8333333333333
2010.25,0.00961399297253607,0.00473941828713276,-0.00735648788074617,0.00794288325582482,0.2,9.6333333333333
2010.5,0.00672664392648414,0.00093178644744274,0.0281546961383166,-0.0125041864125359,0.2,9.4666666666667
2010.75,0.00628135012048858,0.00294497542217087,0.00646498047419719,-0.0262855013168535,0.2,9.5
2011,-0.00386985162043985,0.0125688330807021,-0.0236450171468077,-0.0119857844697213,0.1,9.0333333333333
2011.25,0.00724816683759499,0.0172831046169826,0.0268879746293456,-0.0189281911514945,0.1,9.0666666666667
2011.5,0.00210551619661103,0.00407664256025964,0.0055710579250805,0.00411347490957148,0.1,9
2011.75,0.0111949624140522,-0.00152161048287702,0.0480557809905475,0.0293393000222348,0.1,8.6333333333333
2012,0.00661260512464068,0.00792471766611591,0.0436874357292654,-0.00715424979164236,0.1,8.2666666666667
2012.25,0.00465723297170584,0.00824205096051678,0.0211631598538045,0.0141621391705531,0.2,8.2
2012.5,0.00119616643842591,0.00219055853923678,0.0320380925765917,0.00257715149648696,0.1,8.0333333333333
2012.75,0.00022441044895416,0.000359736752313822,0.0684631886979128,-0.0106804291505247,0.2,7.8
2013,0.00697136777861473,0.00588599770460174,0.0176342966607299,-0.00174006891398193,0.1,7.7333333333333
2013.25,0.00191407415191236,0.00539588220225706,0.034921497382542,0.00807266198204815,0.1,7.5333333333333
2013.5,0.00768719272266338,0.00377198903311626,0.0404852066076415,0.0132412589452127,0.1,7.2333333333333
2013.75,0.00970840890802549,-0.0027944649907381,0.0175214077706212,-0.00718834512835631,0.1,6.9333333333333
2014,-0.0029728337504551,0.0075837181113112,0.0400043540535497,0.0114727881200629,0.1,6.6666666666667
2014.25,0.00971575045528894,0.0117393915905417,0.0645190016620134,-0.00860511689471366,0.1,6.2333333333333
2014.5,0.0121062615199463,0.00114660885387163,0.039221723786369,0.00509426437938032,0.1,6.1
2014.75,0.00571740083814731,-0.00806601361593273,0.0321918572367945,0.0367538394785898,0.1,5.7
2015,0.0100339210444425,-0.0054474500598598,0.0193578883746586,0.0383261823916481,0.1,5.5666666666667
2015.25,0.0067611410317916,0.011984359526215,0.00436465627932581,-0.000302102828465323,0.13,5.4
2015.5,0.00404372065477432,0.00262315960142612,-0.00319157935349601,0.0273206798747596,0.14,5.1
